Company Name,LinkedIn URL,ITRG Status,F27 Account ID18
Janie and Jack,https://www.linkedin.com/company/janie-and-jack,Prospect,001a700000LELGEAA5
Jerry,https://www.linkedin.com/company/jerryinc,Prospect,001a700000K4jg0AAB
"Jewish Family and Children's Services of San Francisco, the Peninsula, Marin and Sonoma Counties",https://www.linkedin.com/company/jfcs,Prospect,0014y00002pC3anAAC
Jewish Federation Bay Area,https://www.linkedin.com/company/jewishbayarea,Prospect,0014y00002ihJnLAAU
Jews for Jesus,https://www.linkedin.com/company/jewsforjesus,Prospect,0013300001osrTSAAY
Jitterbit,https://www.linkedin.com/company/jitterbit,Prospect,0013300001qPudfAAC
"Jsr Micro, Inc.",https://www.linkedin.com/company/jsr-micro-inc,Prospect,0014y00002ih1TOAAY
Jumio Corporation,https://www.linkedin.com/company/jumio-corporation,Prospect,001f300001v7iZgAAI
Juniper Square,https://www.linkedin.com/company/juniper-square,Prospect,0014y00002vMkxTAAS
"Kabam, Inc.",https://www.linkedin.com/company/kabamgames,Prospect,0013300001loDVFAA2
Kairos Power,https://www.linkedin.com/company/kairospower,Prospect,0014y0000276qNAAAY
Karbon,https://www.linkedin.com/company/karbonhq,Prospect,0014y00002raMBIAA2
Kennedy Jenks,https://www.linkedin.com/company/kennedyjenks-consultants,Prospect,0014000000VsJ73AAF
Kentik,https://www.linkedin.com/company/kentik,Prospect,001f300001v8VmxAAE
Kidango,https://www.linkedin.com/company/kidango,Prospect,0014y00002pBUlQAAW
Kiteworks,https://www.linkedin.com/company/kiteworkscgcp,Prospect,0014y00002rSZb9AAG
Kiva,https://www.linkedin.com/company/kiva-org,Prospect,0013300001oswo2AAA
"Kiva Brands, Inc.",https://www.linkedin.com/company/kiva-confections,Prospect,0014y0000276qUOAAY
Komodo Health,https://www.linkedin.com/company/komodo-health,Prospect,001f300001v9XKmAAM
Kong,https://www.linkedin.com/company/konghq,Prospect,001f300001v8ZrgAAE
Kore.ai,https://www.linkedin.com/company/kore-inc,Prospect,001f300001v8vXXAAY
