account_id,account_name,tier,tier_reason,scope_status,routed_to,industry,revenue_musd,parent_company,city,zip,membership_status,last_reviewed
001f300001v8hCeAAI,Huseby Inc,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Esquire Deposition Solutions, LLC",,,never,2026-08-13
001a700000LEegwAAD,"Hydraulic Controls, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002jRqtlAAC,IEM Holdings Group Inc.,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
001a700000LEaLqAAL,"Ichor Holdings, Ltd.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8LHJAA2,"Iconiq Capital, LLC",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,ICONIQ,,,never,2026-08-13
001f300001v8TDHAA2,Imperfect Foods,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Misfits Market,,,never,2026-08-13
0014y00002jRlEEAA0,InMobi,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001lNPCRAA4,Included Health,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002raAeKAAU,"Infinitus Systems, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002WakS4AAJ,Influxdata Inc.,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v99UqAAI,Innovaccer,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000ZnFXTAA3,"InsideView, A Demandbase Company",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Demandbase,,,never,2026-08-13
0014y0000276t52AAA,Insidesource,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8MJ0AAM,Instawork,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8y8wAAA,Institute on Aging,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8gUPAAY,Integral Development Corp.,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y0000276q8lAAA,"Interior Architects, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,IA Interior Architects,,,never,2026-08-13
001f300001v95QBAAY,Internet Archive,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8uYhAAI,"Intershop Communications, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Intershop Communications AG,,,never,2026-08-13
001a7000001Fh9DAAS,Interwell Health,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
00140000011lkU3AAI,"Irhythm Technologies, Inc.",3,No opp on account. Holdover release requested to Aug 24,in-book,,,,,,,never,2026-08-13
001f300001v8weyAAA,"Ironclad, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8uHUAAY,Iterable,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000LELGEAA5,Janie and Jack,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001a700000K4jg0AAB,Jerry,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002pC3anAAC,"Jewish Family and Children's Services of San Francisco, the Peninsula, Marin and Sonoma Counties",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ihJnLAAU,Jewish Federation Bay Area,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001osrTSAAY,Jews for Jesus,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001qPudfAAC,Jitterbit,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002ih1TOAAY,"Jsr Micro, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,JSR Corporation,,,never,2026-08-13
001f300001v7iZgAAI,Jumio Corporation,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002vMkxTAAS,Juniper Square,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000Y9qEaAAJ,KQED,1,"Winback, lapsed membership on the account",in-book,,,,,,,lapsed,2026-08-13
0014y0000276qNAAAY,Kairos Power,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002raMBIAA2,Karbon,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VsJ73AAF,Kennedy Jenks,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8VmxAAE,Kentik,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002pBUlQAAW,Kidango,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002rSZb9AAG,Kiteworks,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001oswo2AAA,Kiva,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y0000276qUOAAY,"Kiva Brands, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v9XKmAAM,Komodo Health,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8ZrgAAE,Kong,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8vXXAAY,Kore.ai,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002vMkjmAAC,Labelbox,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002p8Z4hAAE,"Land Home Financial Services, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y000025ADPsAAO,Larkin Street Youth Services,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f3000022Pe5zAAC,Lattice,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0013300001cCPdPAAW,"Legacy Partners, LLC",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,Collier Enterprises,,,never,2026-08-13
0013300001lIyO5AAK,Life360,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
001f300001v8mtQAAQ,LifeStreet,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014000000VsE9hAAF,Linden Lab,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,"Linden Research, Inc.",,,never,2026-08-13
0014000000VsM4mAAF,"Liveops, Inc.",3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
0014y00002LwcFtAAJ,Lob,3,"No named contact in territory export, Power is a zero until mapped",in-book,,,,,,,never,2026-08-13
